predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error
1.194499,1.14767,1.184533,4.080354,3.212015
1.187948,1.141317,1.178288,4.085729,3.239358
1.166175,1.134995,1.141502,2.747172,0.5732679
1.144493,1.128705,1.13489,1.39881,0.5479568
1.138156,1.122447,1.128697,1.399578,0.5568427
1.13185,1.116219,1.12251,1.400338,0.563527
1.125576,1.110023,1.116212,1.401109,0.5575011
1.119333,1.103858,1.110054,1.401893,0.5612303
1.113122,1.074488,1.103884,3.595522,2.735764
1.106941,1.068511,1.097731,3.596614,2.73469
1.089174,1.062564,1.06854,2.504322,0.5624098
1.0715,1.056646,1.06244,1.405764,0.5483096
1.065538,1.050758,1.056683,1.406563,0.5638503
1.059605,1.044899,1.050949,1.407364,0.5789679
1.053702,1.03907,1.04475,1.408181,0.5466507
1.047829,1.03327,1.03904,1.409002,0.5583951
1.041985,1.027499,1.033329,1.409827,0.5674484
1.03617,0.9847358,1.027503,5.223161,4.342979
1.030384,0.9791506,1.021862,5.232477,4.362091
1.006117,0.9735933,0.9789699,3.34062,0.5522467
0.9819432,0.9680638,0.9736433,1.43373,0.5763537
0.976372,0.962562,49.17489,1.434717,5008.75
0.9708286,0.9570876,0.9626576,1.435705,0.5819733
0.9653129,0.9516407,0.9570886,1.436701,0.5724833
0.9598248,0.9462209,0.9516786,1.437705,0.5767891
0.9543642,0.9408283,0.9460508,1.438717,0.5550895
0.9489309,0.9354627,0.940888,1.439737,0.5799627
0.9435247,0.9301238,0.9355427,1.440767,0.5825995
0.9381456,0.9248117,0.9302798,1.441798,0.5912696
0.9327933,0.9195261,0.9245813,1.442832,0.5497667
0.9274678,0.9142669,0.9193596,1.443876,0.5570234
0.922169,0.9090341,0.9140614,1.444929,0.5530435
0.9168966,0.9038274,0.9088163,1.445985,0.5519758
0.9116505,0.8318473,0.9036593,9.593502,8.632846
0.9064308,0.8270697,0.8988733,9.595452,8.68169
0.8678374,0.8223161,0.8267885,5.535745,0.5438827
0.8294585,0.8175861,0.8225558,1.45213,0.6078523
0.8246929,0.8128799,0.8178228,1.453234,0.6080719
0.8199511,0.8081971,0.8129897,1.454345,0.592988
0.8152331,0.8035378,0.8082448,1.455464,0.5857818
0.8105385,0.7989019,0.8034294,1.456584,0.5667166
0.8058676,0.7942891,0.7987081,1.457719,0.5563502
0.8012199,0.7896993,0.7944224,1.458862,0.5980924
0.7965956,0.7851325,0.7896128,1.460014,0.5706428
0.7919943,0.7805886,0.7854096,1.461175,0.6176189
0.7874161,0.7760673,0.7805647,1.462345,0.5795127
0.7828608,0.7715687,0.776232,1.463525,0.6043984
0.7783282,0.6919609,0.123875,12.48152,82.09798
0.7738182,0.6876879,0.767331,12.52461,11.58128
0.731765,0.6834363,0.6875403,7.071418,0.6004888
0.6898246,0.679206,0.6832958,1.56338,0.602149
0.6855623,0.6749968,0.6790397,1.565261,0.5989457
0.6813213,0.6708087,0.6752132,1.567152,0.6565934
0.6771015,0.6666415,0.6709393,1.569062,0.6447023
0.6729028,0.6624951,0.6665947,1.570992,0.6188223
0.6687251,0.6583694,0.6623268,1.572933,0.6010807
0.6645683,0.6542644,0.6584768,1.574885,0.6438344
0.6604323,0.6501799,0.6542147,1.576849,0.6205602
0.6563169,0.6461158,0.6503705,1.578834,0.658504
0.6522222,0.6420721,0.6461379,1.580831,0.6332329
0.6481479,0.6380485,0.6423172,1.58285,0.6690252
0.6440939,0.6340451,0.6379669,1.584872,0.6185281
0.6400602,0.6300617,0.6342463,1.586908,0.6641577
0.6360468,0.4745244,0.6299136,34.0388,32.74632
0.6320534,0.4713354,0.6260754,34.09842,32.83011
0.552293,0.4681624,0.471068,17.97038,0.6206281
0.4729298,0.4650053,0.4682776,1.70418,0.7037113
0.4697489,0.461864,0.4650222,1.707189,0.6837969
0.4665838,0.4587383,0.461961,1.710226,0.7025082
0.4634345,0.4556283,0.4587409,1.713292,0.6831346
0.4603011,0.4525338,0.4558033,1.716387,0.722486
0.4571832,0.4494548,0.4525891,1.719505,0.6973383
0.454081,0.4463913,0.4495809,1.722647,0.7145354
0.4509943,0.443343,0.4463666,1.725819,0.6820124
0.447923,0.4403099,0.4434939,1.729024,0.7231113
0.4448671,0.4372921,0.4400736,1.732253,0.6360761
0.4418264,0.4342893,0.4372773,1.735508,0.6880299
0.4388009,0.3364878,0.4343692,30.4062,29.08915
0.4357906,0.333989,0.4315317,30.48052,29.20536
0.3853884,0.3315028,0.3337507,16.25497,0.6780939
0.3352383,0.3290289,0.331496,1.887182,0.7498022
0.3327458,0.3265675,0.3290235,1.891897,0.7520771
0.3302657,0.3241183,0.3265687,1.896658,0.7560131
0.3277981,0.3216814,0.3242728,1.901465,0.8055801
0.3253428,0.3192567,0.3218121,1.906328,0.8004218
0.3228998,0.3168441,0.3195456,1.91125,0.8526436
0.3204689,0.3144435,0.3166552,1.916212,0.7033569
0.3180502,0.312055,0.3142298,1.921214,0.6969268
0.3156436,0.3096784,0.3118103,1.926267,0.6884171
0.3132491,0.2168975,0.3094791,44.42266,42.68452
0.3108665,0.214991,0.307036,44.59514,42.81345
0.2632878,0.213094,0.2151418,23.55473,0.9609945
0.215944,0.2112066,0.2131168,2.243056,0.9044273
0.2140423,0.2093285,0.2112271,2.251861,0.9069676
0.2121501,0.2074599,0.2093374,2.260782,0.9049949
0.2102674,0.2056006,0.2073947,2.269819,0.8726213
0.208394,0.2037506,0.2055109,2.278975,0.8639503
0.2065301,0.2019099,0.2036624,2.288261,0.8680038
0.2046754,0.2000783,0.2016491,2.297664,0.785103
0.2028301,0.1982559,0.2002951,2.307194,1.028574
0.2009939,0.1130245,0.1984113,77.83219,75.5472
0.199167,0.1118849,0.1964039,78.01063,75.54107
0.1556401,0.110751,0.1120979,40.53156,1.21622
0.1124545,0.1096227,0.1105909,2.583239,0.8831866
0.1113178,0.1085001,0.1096784,2.596926,1.086005
0.1101867,0.1073831,0.1087306,2.610812,1.254871
0.1090613,0.1062717,0.1072825,2.624922,0.9511098
0.1079415,0.1051659,0.1063406,2.639276,1.117008
0.1068273,0.1040655,0.1053751,2.653858,1.258427
0.1057186,0.1029707,0.1039211,2.66866,0.9229337
0.1046156,0.01340853,0.1030086,680.2168,668.232
0.103518,0.01273553,0.1020373,712.8286,701.2018
0.05818948,0.01206589,0,382.2643,100
0.01307189,0.0113996,0,14.66967,100
0.01240057,0.01073665,0,15.49756,100
0.0117326,0.01007701,0,16.4294,100
0.01106798,0.009420664,0,17.48618,100
0.01040669,0.008767603,0,18.69476,100
0.009748698,0.008117807,0,20.09029,100
0.009093991,0.08000998,0,88.63393,100
0.008442556,0.08021504,0,89.4751,100
0.03594623,0.08041907,0.08018811,55.30136,0.2871962
0.08011264,0.08062208,0.08055567,0.6318968,0.08237752
0.08031718,0.08082408,0.08060314,0.6271741,0.2733677
0.0805207,0.08102507,0.08106231,0.6224827,0.04595862
0.08072321,0.08122505,0.08100344,0.6178406,0.2728346
0.0809247,0.08142404,0.0811153,0.6132562,0.379172
0.08112518,0.1643839,0.08146262,50.64896,50.44369
0.08132467,0.1642227,0.08163922,50.47904,50.2875
0.1229041,0.1640623,0.1639908,25.08692,0.0435966
0.1643034,0.1639027,0.1640084,0.2445151,0.06452215
0.1641426,0.1637439,0.1640673,0.2435146,0.1975308
0.1639826,0.1635858,0.1635492,0.2425292,0.02236279
0.1638233,0.1634286,0.1635022,0.2415408,0.04501479
0.1636649,0.1632721,0.1636081,0.2405584,0.205777
0.1635073,0.2424292,0.1630783,32.55462,32.73157
0.1633504,0.2418526,0.1631019,32.45869,32.56147
0.2028507,0.241279,0.2417329,15.92691,0.1881243
0.2421409,0.2407082,0.2412266,0.5952276,0.2153754
0.2415659,0.2401403,0.2408675,0.5936506,0.3028443
0.2409936,0.2395752,0.2403083,0.592084,0.3059968
0.2404243,0.2390129,0.239384,0.5905093,0.1552692
0.2398578,0.2384534,0.2388895,0.5889389,0.1828795
0.2392941,0.3217476,0.2384245,25.62677,25.89706
0.2387332,0.3207432,0.2379653,25.56874,25.80817
0.2801006,0.3197438,0.3209173,12.39843,0.3669927
0.3212455,0.3187495,0.3199047,0.7830802,0.3624436
0.3202436,0.3177601,0.3184625,0.7815886,0.2210507
0.3192467,0.3167756,0.3176324,0.7800945,0.2704807
0.3182549,0.315796,0.3166611,0.7786072,0.2739149
0.3172679,0.3148214,0.3156014,0.7771176,0.2477741
0.3162859,0.4002862,0.3148302,20.98505,21.34871
0.3153088,0.3989175,0.3137353,20.95889,21.35334
0.3575539,0.3975557,0.3990891,10.06194,0.3857192
0.3996019,0.3962007,0.3976174,0.858474,0.3575897
0.3982367,0.3948524,0.3963105,0.8570955,0.3692794
0.3968783,0.3935109,0.3947505,0.8557157,0.3150022
0.3955266,0.3921762,0.3934142,0.8543345,0.3156791
0.3941818,0.390848,0.3920307,0.8529524,0.3025997
0.3928437,0.4799073,0.3909594,18.14176,18.5344
0.3915122,0.4781426,0.3895877,18.11811,18.5206
0.4353778,0.4763868,0.4782971,8.608343,0.4009975
0.4790251,0.4746397,0.4764074,0.9239265,0.3724162
0.4772648,0.4729014,0.4744,0.9226781,0.3168842
0.4755133,0.4711718,0.4730048,0.9214352,0.389022
0.4737707,0.4694508,0.4711092,0.9201915,0.3532596
0.4720367,0.4677384,0.4696787,0.9189473,0.4148153
0.4703114,0.5616896,0.4678008,16.26845,16.71543
0.4685948,0.5595246,0.4659346,16.25127,16.72669
0.5147142,0.5573704,0.5592299,7.653123,0.3336177
0.5606073,0.555227,0.5574697,0.9690222,0.4039328
0.5584477,0.5530943,0.5550443,0.9678985,0.3525666
0.5562989,0.5509722,0.553084,0.966769,0.3832847
0.5541608,0.5488608,0.5507469,0.9656338,0.3436444
0.5520334,0.5467599,0.5488572,0.964493,0.3835777
0.5499166,0.6397733,0.5469675,14.04508,14.50605
0.5478104,0.6372139,0.5444773,14.03037,14.55344
0.5932667,0.6346673,0.6370956,6.52319,0.3826182
0.6384937,0.6321334,0.634682,1.006173,0.40318
0.6359407,0.6296121,0.632286,1.005146,0.4246843
0.6334004,0.6271035,0.6294074,1.00412,0.3673872
0.6308728,0.6246074,0.627035,1.003085,0.388647
0.6283578,0.6221238,0.6246743,1.00205,0.4099543
0.6258554,0.7184018,0.6222195,12.88225,13.38837
0.6233656,0.7154397,0.6199707,12.86959,13.34411
0.6702628,0.7124925,0.715185,5.927048,0.3779016
0.7169207,0.70956,0.7124359,1.037352,0.4053025
0.713966,0.7066422,0.7094924,1.036423,0.403349
0.7110262,0.703739,0.7067315,1.035498,0.4252302
0.708101,0.7008502,0.703788,1.03457,0.4191757
0.7051905,0.697976,0.7009742,1.033638,0.4295525
0.7022946,0.7949898,0.6980072,11.65993,12.19923
0.6994131,0.7915901,0.6952521,11.64453,12.17018
0.7464829,0.7882074,0.7915261,5.293587,0.4210474
0.79329,0.7848415,0.7882589,1.076449,0.4354144
0.7898988,0.7814926,0.7848386,1.075655,0.4281584
0.7865245,0.7781603,0.781589,1.074861,0.4406158
