timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
24.2608,-0.03918236,-0.009852752,0.001655361,0.005860068,-0.01101581,-0.003079873
24.2608,1.302418,-0.01593101,-0.009537021,0.003271641,-0.003991785,0.005624845
24.30428,-0.01672763,-0.04339738,-0.01107105,-0.007141768,0.004894139,-0.002392209
24.30428,1.367612,-0.02283028,-0.0006277707,0.007054863,-0.01140683,0.001511714
24.34775,-0.003627109,-0.021575,0.03146553,0.009719668,0.001345546,0.004535185
24.34775,1.20265,0.01252999,0.007242483,0.003462232,0.003062329,-0.01153188
24.39123,-0.02617537,-0.0005099737,0.0006658818,0.001853871,-0.00740787,0.002667268
24.39123,1.085825,0.04203372,0.007194306,0.0002720238,-0.008063166,-0.006889456
24.43471,0.0004755845,-0.01017317,0.008684076,0.0001467489,-0.004382236,0.003772831
24.43471,0.6942303,0.006671262,0.002631255,-0.002387922,-0.001309686,0.005728593
24.47819,-0.006417352,-0.004171823,-0.02705789,0.0009090661,-0.004663058,0.0002730507
24.47819,0.5517288,-0.009693851,0.009878277,0.004845045,-0.003555932,0.003168117
24.52167,0.01598782,-0.001040852,-0.01691762,-0.004005963,-0.003876701,0.002773305
24.52167,0.02083075,-0.01105976,0.01732279,0.001146484,0.003644731,-0.007310358
24.56514,0.003100678,0.01727583,-0.002000959,0.009419409,0.000912584,-0.004560905
24.56514,-0.2783087,-0.003160709,-0.01286951,0.007498449,0.006160147,-0.005614082
24.60862,0.03654574,0.02010502,0.0219607,0.005861865,0.00449183,-0.005686502
24.60862,-0.4735866,-0.0121742,0.01078554,-0.006465606,-0.002188717,0.002389552
24.6521,-0.02267767,0.02058212,0.004254963,0.0006682333,-0.01512614,-0.001616116
24.6521,-1.201921,-0.01379817,-0.01558604,-0.003384111,0.002358242,-0.002023643
24.69558,0.02007906,0.01818635,0.01906457,0.005367687,0.004941843,-0.01600474
24.69558,-1.260554,-0.001509377,-0.004089739,-0.007632381,-0.0005121306,-0.005123274
24.73906,-0.002548305,0.02073089,-0.02010033,-0.001798697,-0.007022098,-0.007865649
24.73906,-1.390531,-0.00612543,0.004832086,0.007550887,-0.0002251001,0.006989862
24.78253,0.007106332,-0.03105938,0.003453964,-0.006940501,-0.006916465,9.606908E-05
24.78253,-1.615744,0.0134641,0.004138761,-0.004102395,0.003651519,-0.003880562
24.82601,0.004235965,0.001376449,-0.0004290419,-0.001014579,-0.00453803,-0.01282362
24.82601,-2.696657,-0.01316268,-0.01365041,-0.001580582,-0.0006888752,0.002898744
24.86949,-0.005690971,0.04016994,0.02101642,-0.005327377,0.000108511,-0.004104526
