predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error,accepted_rays
4.214025,4.187779,4.198568,0.6267186,0.2576172,114
4.203429,4.177265,4.187596,0.6263327,0.2473186,114
4.192862,4.166777,4.177094,0.6260096,0.2475864,114
4.182331,4.156315,4.166632,0.6259217,0.248221,114
4.17183,4.14588,4.156029,0.6259331,0.2447973,114
4.161355,4.13547,4.146116,0.6259174,0.2574167,114
4.150909,4.311865,4.135609,3.732861,4.087702,114
4.140495,4.300995,4.125185,3.731696,4.087667,114
4.223492,4.290153,4.301071,1.553822,0.254493,114
4.306257,4.279338,4.290095,0.6290433,0.2513811,114
4.29541,4.26855,4.279103,0.629259,0.2472241,114
4.284586,4.257789,4.26865,0.6293824,0.2550948,114
4.27378,4.247055,4.257683,0.6292665,0.2502493,114
4.263011,4.236347,4.247155,0.6294162,0.255114,114
4.252269,4.225667,4.236255,0.6295401,0.250568,114
4.241537,4.215013,4.225772,0.6292762,0.255274,114
4.230836,4.204385,4.215228,0.6291314,0.2578813,114
4.220167,4.193785,4.204227,0.6290731,0.2489936,114
4.209519,4.18321,4.193808,0.6289078,0.2533277,114
4.198898,4.172663,4.1833,0.6287377,0.2549394,114
4.188303,4.162141,4.172777,0.6285743,0.2555265,114
4.177734,4.151646,4.162307,0.6283715,0.2567927,114
4.167201,4.141177,4.151825,0.6284056,0.2571195,114
4.156699,4.130734,4.141305,0.6285743,0.255911,114
4.146217,4.120318,4.130886,0.6285664,0.2564885,114
4.135754,4.109927,4.120346,0.6284036,0.2534939,114
4.125316,4.099563,4.109847,0.6282011,0.2508547,114
4.114912,4.089224,43.3428,0.6281918,959.9272,114
4.104537,4.078911,4.089372,0.6282488,0.2564736,113
4.094194,4.068624,4.078907,0.6284894,0.2527506,113
4.083871,4.058362,4.068767,0.6285511,0.2563858,113
4.073564,4.048126,4.058365,0.6283736,0.2529231,113
4.063293,4.037916,4.048407,0.6284745,0.2597978,113
4.053053,4.027731,4.03781,0.6286786,0.2502378,113
4.042839,4.017572,4.027852,0.6288915,0.2558555,113
4.032651,4.007439,4.017361,0.6291372,0.2476022,113
4.022482,3.99733,4.007352,0.6292132,0.2507095,113
4.012332,3.987247,3.997241,0.6291301,0.2506618,113
4.002213,3.977189,3.987396,0.6291985,0.256649,113
3.992121,3.967156,3.977248,0.6292873,0.2543772,113
3.982054,4.162063,3.967277,4.325009,4.680048,113
3.972002,4.151568,3.957339,4.325266,4.678452,113
4.064417,4.141099,4.151327,1.851733,0.2469914,113
4.156617,4.130656,4.14128,0.6284939,0.2571856,113
4.14614,4.12024,4.130857,0.6286015,0.2576854,113
4.135682,4.109849,4.120337,0.6285547,0.255181,113
4.125248,4.099485,4.109969,0.6284572,0.2557448,113
